COUNTRY,CONFIRMED,DEATHS,CASE-FATALITY,DEATHS/100K POP.
Peru,"4,487,553","219,539",4.90%,665.84
Bulgaria,"1,297,523","38,228",2.90%,550.17
Hungary,"2,196,804","48,762",2.20%,504.76
Bosnia and Herzegovina,"401,729","16,280",4.10%,496.22
North Macedonia,"346,852","9,662",2.80%,463.77
Montenegro,"288,808","2,808",1.00%,447.09
Croatia,"1,269,326","17,987",1.40%,438.14
Georgia,"1,827,537","16,971",0.90%,425.43
Czechia,"4,618,256","42,491",0.90%,396.78
Slovakia,"2,667,551","21,035",0.80%,387.05
San Marino,"23,616",122,0.50%,359.48
Lithuania,"1,307,448","9,596",0.70%,352.5
Romania,"3,346,046","67,736",2.00%,352.1
US,"103,802,702","1,123,836",1.10%,341.11
Slovenia,"1,331,707","7,078",0.50%,340.46
Chile,"5,192,286","64,273",1.20%,336.22
Greece,"5,548,487","34,779",0.60%,333.67
Latvia,"976,255","6,269",0.60%,332.36
Brazil,"37,076,053","699,276",1.90%,328.98
United Kingdom,"24,658,705","220,721",0.90%,325.13
Poland,"6,444,960","119,010",1.80%,314.45
Italy,"25,603,510","188,322",0.70%,311.47
Trinidad and Tobago,"189,918","4,355",2.30%,311.18
Moldova,"611,140","12,003",2.00%,298.01
Armenia,"447,308","8,727",2.00%,294.51
Belgium,"4,739,365","33,814",0.70%,294.22
Argentina,"10,044,957","130,472",1.30%,288.68
Colombia,"6,359,093","142,339",2.20%,279.74
Paraguay,"808,401","19,878",2.50%,278.69
Ukraine,"5,711,929","119,283",2.10%,272.75
Russia,"22,075,858","388,478",1.80%,266.2
Mexico,"7,483,444","333,188",4.50%,260.73
Portugal,"5,570,473","26,266",0.50%,257.59
Spain,"13,770,429","119,479",0.90%,255.54
France,"39,866,718","166,176",0.40%,254.68
Tunisia,"1,151,126","29,341",2.50%,248.26
Austria,"5,961,143","21,970",0.40%,243.94
Suriname,"82,467","1,404",1.70%,239.33
Sweden,"2,699,339","23,777",0.90%,235.43
Liechtenstein,"21,432",89,0.40%,233.37
Saint Lucia,"30,004",409,1.40%,222.73
Estonia,"615,433","2,946",0.50%,222.08
Uruguay,"1,034,303","7,617",0.70%,219.27
Andorra,"47,890",165,0.30%,213.55
Bahamas,"37,491",833,2.20%,211.83
Grenada,"19,680",238,1.20%,211.52
Serbia,"2,500,142","17,881",0.70%,204.65
Ecuador,"1,057,121","36,014",3.40%,204.13
Germany,"38,249,060","168,935",0.40%,203.16
Barbados,"106,798",579,0.50%,201.48
Panama,"1,031,731","8,609",0.80%,199.52
Luxembourg,"317,367","1,220",0.40%,194.9
Bolivia,"1,194,277","22,365",1.90%,191.6
Malta,"117,610",828,0.70%,187.53
Costa Rica,"1,209,725","9,245",0.80%,181.48
Kosovo,"273,312","3,211",1.20%,177.37
Ireland,"1,704,502","8,708",0.50%,176.35
Seychelles,"50,665",172,0.30%,174.9
Belize,"70,757",688,1.00%,173.03
