"country","prevalence","cases","pop2023"
"Ukraine",6.3,2800587,36744634
"United States",5.9,17491047,339996563
"Australia",5.9,1318599,26439111
"Estonia",5.9,75667,1322765
"Brazil",5.8,11548577,216422446
"Greece",5.7,593136,10341277
"Portugal",5.7,578234,10247605
"Belarus",5.6,510764,9498238
"Finland",5.6,293921,5545475
"Lithuania",5.6,169685,2718352
"Russia",5.5,7815714,144444359
"Cuba",5.5,605879,11194449
"New Zealand",5.4,221338,5228100
"Moldova",5.4,207247,3435931
"Barbados",5.4,14586,281995
"Germany",5.2,2116728,83294633
"Spain",5.2,2408700,47519628
"Czech Republic",5.2,525488,10495295
"Paraguay",5.2,332628,6861524
"Bulgaria",5.2,360724,6687717
"Trinidad and Tobago",5.2,67614,1534937
"Bahamas",5.2,19138,412623
"Italy",5.1,3049986,58870762
"Poland",5.1,1878988,41026067
"Hungary",5.1,493783,10156239
"United Arab Emirates",5.1,444016,9516871
"Austria",5.1,415916,8958960
"Slovakia",5.1,268516,5795199
"Croatia",5.1,205541,4008617
"Bosnia and Herzegovina",5.1,185557,3210847
"Qatar",5.1,105684,2716391
"Slovenia",5.1,99864,2119675
"Cyprus",5.1,42662,1260138
"Djibouti",5.1,43909,1136455
"Malta",5.1,20049,535064
"Antigua and Barbuda",5.1,4424,94298
"Romania",5,931842,19892812
"Chile",5,844253,19629590
"Switzerland",5,388870,8796669
"Serbia",5,419302,7149077
"Denmark",5,267213,5910913
"Kuwait",5,181756,4310108
"Georgia",5,189241,3728282
"Uruguay",5,158005,3423108
"Armenia",5,142712,2777970
"Luxembourg",5,26350,654768
"Iran",4.9,3637308,89172767
"Tunisia",4.9,518432,12458223
"Sweden",4.9,446734,10612086
"Latvia",4.9,102702,1830211
"Cape Verde",4.9,24240,598682
"Saint Lucia",4.9,8892,180251
"Saint Vincent and the Grenadines",4.9,5144,103698
"France",4.8,2949572,64756584
"Peru",4.8,1443513,34352719
"Belgium",4.8,502075,11686140
"Ireland",4.8,212555,5056935
"Albania",4.8,131048,2832439
"Jamaica",4.8,134054,2825544
"Lesotho",4.8,98988,2330318
"Bahrain",4.8,62549,1485509
"Montenegro",4.8,28627,626485
"Suriname",4.8,24914,623236
"Ethiopia",4.7,4480113,126527060
"Colombia",4.7,2177280,52085168
"Argentina",4.7,1914354,45773884
"Canada",4.7,1566903,38781291
"Netherlands",4.7,752777,17618299
"Dominican Republic",4.7,464164,11332972
"Norway",4.7,227446,5474360
"Lebanon",4.7,255280,5353930
"Costa Rica",4.7,216608,5212173
"Oman",4.7,199961,4644384
"Botswana",4.7,102065,2675352
"Grenada",4.7,4848,126183
